,year,activity,fatal,night_day,fy,fn,decade
0,2018,surfing,N,Day,0,1,2010
1,2018,standing,N,Day,0,1,2010
2,2018,surfing,N,Night,0,1,2010
6,2018,swimming,Y,Day,1,0,2010
8,2018,standing,N,Day,0,1,2010
9,2018,standing,N,Day,0,1,2010
10,2018,other,N,Day,0,1,2010
12,2018,swimming,N,Day,0,1,2010
13,2018,fishing,N,Day,0,1,2010
15,2018,surfing,N,Day,0,1,2010
16,2018,surfing,N,Day,0,1,2010
18,2018,swimming,N,Day,0,1,2010
19,2018,surfing,N,Day,0,1,2010
20,2018,surfing,N,Night,0,1,2010
21,2018,surfing,N,Day,0,1,2010
22,2018,surfing,N,Day,0,1,2010
23,2018,fishing,N,Night,0,1,2010
24,2018,surfing,N,Day,0,1,2010
29,2018,surfing,N,Day,0,1,2010
30,2018,surfing,N,Day,0,1,2010
32,2018,surfing,N,Day,0,1,2010
33,2018,swimming,N,Day,0,1,2010
34,2018,surfing,N,Day,0,1,2010
35,2018,surfing,N,Day,0,1,2010
36,2018,standing,N,Day,0,1,2010
37,2018,swimming,N,Day,0,1,2010
38,2018,surfing,N,Night,0,1,2010
40,2018,swimming,N,Day,0,1,2010
41,2018,fishing,N,Night,0,1,2010
42,2018,standing,N,Day,0,1,2010
43,2018,swimming,N,Day,0,1,2010
47,2018,other,N,Day,0,1,2010
48,2018,fishing,N,Day,0,1,2010
49,2018,swimming,N,Day,0,1,2010
51,2018,surfing,N,Day,0,1,2010
53,2017,surfing,N,Day,0,1,2010
54,2017,surfing,N,Day,0,1,2010
60,2017,fishing,N,Day,0,1,2010
61,2017,surfing,N,Day,0,1,2010
63,2017,surfing,N,Day,0,1,2010
64,2017,swimming,Y,Night,1,0,2010
66,2017,surfing,N,Day,0,1,2010
67,2017,surfing,N,Day,0,1,2010
68,2017,swimming,N,Day,0,1,2010
69,2017,surfing,N,Day,0,1,2010
70,2017,swimming,N,Day,0,1,2010
71,2017,fishing,N,Day,0,1,2010
72,2017,surfing,N,Day,0,1,2010
73,2017,swimming,N,Day,0,1,2010
74,2017,surfing,N,Day,0,1,2010
75,2017,swimming,N,Day,0,1,2010
77,2017,surfing,N,Day,0,1,2010
78,2017,surfing,N,Day,0,1,2010
79,2017,surfing,,Day,0,0,2010
80,2017,surfing,N,Day,0,1,2010
81,2017,surfing,N,Day,0,1,2010
83,2017,surfing,N,Day,0,1,2010
84,2017,swimming,,Day,0,0,2010
85,2017,fishing,N,Night,0,1,2010
87,2017,surfing,N,Day,0,1,2010
88,2017,swimming,N,Day,0,1,2010
89,2017,surfing,N,Night,0,1,2010
91,2017,swimming,Y,Day,1,0,2010
92,2017,surfing,N,Day,0,1,2010
95,2017,surfing,N,Day,0,1,2010
96,2017,surfing,N,Day,0,1,2010
97,2017,standing,N,Day,0,1,2010
98,2017,swimming,,Day,0,0,2010
100,2017,other,N,Day,0,1,2010
101,2017,fishing,N,Day,0,1,2010
102,2017,swimming,N,Day,0,1,2010
104,2017,fishing,N,Night,0,1,2010
105,2017,fishing,N,Day,0,1,2010
106,2017,surfing,N,Day,0,1,2010
107,2017,swimming,,Day,0,0,2010
108,2017,other,N,Day,0,1,2010
111,2017,surfing,N,Day,0,1,2010
113,2017,swimming,N,Day,0,1,2010
114,2017,other,N,Day,0,1,2010
116,2017,surfing,N,Day,0,1,2010
117,2017,other,N,Night,0,1,2010
118,2017,surfing,N,Day,0,1,2010
119,2017,surfing,N,Day,0,1,2010
120,2017,surfing,N,Day,0,1,2010
121,2017,swimming,N,Day,0,1,2010
123,2017,surfing,N,Day,0,1,2010
125,2017,fishing,,Day,0,0,2010
127,2017,surfing,N,Day,0,1,2010
129,2017,surfing,N,Day,0,1,2010
130,2017,swimming,N,Day,0,1,2010
133,2017,surfing,N,Day,0,1,2010
134,2017,surfing,N,Day,0,1,2010
135,2017,surfing,N,Day,0,1,2010
138,2017,swimming,N,Day,0,1,2010
